ui_timestamp,sequence,backend_bid,backend_ask,backend_event_time,websocket_bid,websocket_ask,ui_bid,ui_ask,ui_event_time,receipt_to_dom_ms
2026-09-21T08:20:38.189000+00:00,181,4352.56,4352.98,2026-09-21T08:20:38.097000Z,4352.56,4352.98,4352.56,4352.98,2026-09-21T08:20:38.097000Z,29.091
2026-09-21T08:20:38.490000+00:00,182,4352.50,4352.92,2026-09-21T08:20:38.354000Z,4352.50,4352.92,4352.50,4352.92,2026-09-21T08:20:38.354000Z,126.629
2026-09-21T08:20:38.721000+00:00,183,4352.50,4352.92,2026-09-21T08:20:38.354000Z,4352.50,4352.92,4352.50,4352.92,2026-09-21T08:20:38.354000Z,154.909
2026-09-21T08:20:38.986000+00:00,185,4352.48,4352.89,2026-09-21T08:20:39.050000Z,4352.48,4352.89,4352.48,4352.89,2026-09-21T08:20:39.050000Z,8.76
2026-09-21T08:20:39.234000+00:00,186,4352.46,4352.88,2026-09-21T08:20:39.210000Z,4352.46,4352.88,4352.46,4352.88,2026-09-21T08:20:39.210000Z,62.846
2026-09-21T08:20:39.543000+00:00,187,4352.46,4352.88,2026-09-21T08:20:39.210000Z,4352.46,4352.88,4352.46,4352.88,2026-09-21T08:20:39.210000Z,160.04
2026-09-21T08:20:39.812000+00:00,189,4352.47,4352.88,2026-09-21T08:20:39.670000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:39.670000Z,12.586
2026-09-21T08:20:40.077000+00:00,190,4352.47,4352.88,2026-09-21T08:20:39.670000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:39.670000Z,73.894
2026-09-21T08:20:40.327000+00:00,191,4352.47,4352.88,2026-09-21T08:20:39.670000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:39.670000Z,122.257
2026-09-21T08:20:40.646000+00:00,193,4352.47,4352.88,2026-09-21T08:20:39.670000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:39.670000Z,30.867
2026-09-21T08:20:40.897000+00:00,194,4352.46,4352.87,2026-09-21T08:20:40.953000Z,4352.46,4352.87,4352.46,4352.87,2026-09-21T08:20:40.953000Z,60.862
2026-09-21T08:20:41.173000+00:00,195,4352.46,4352.87,2026-09-21T08:20:40.953000Z,4352.46,4352.87,4352.46,4352.87,2026-09-21T08:20:40.953000Z,122.623
2026-09-21T08:20:41.420000+00:00,196,4352.46,4352.87,2026-09-21T08:20:40.953000Z,4352.46,4352.87,4352.46,4352.87,2026-09-21T08:20:40.953000Z,178.515
2026-09-21T08:20:41.664000+00:00,198,4352.46,4352.87,2026-09-21T08:20:40.953000Z,4352.46,4352.87,4352.46,4352.87,2026-09-21T08:20:40.953000Z,4.07
2026-09-21T08:20:41.972000+00:00,199,4352.47,4352.88,2026-09-21T08:20:41.828000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:41.828000Z,100.52
2026-09-21T08:20:42.207000+00:00,200,4352.47,4352.88,2026-09-21T08:20:41.828000Z,4352.47,4352.88,4352.47,4352.88,2026-09-21T08:20:41.828000Z,141.552
2026-09-21T08:20:42.476000+00:00,202,4352.47,4352.89,2026-09-21T08:20:42.584000Z,4352.47,4352.89,4352.47,4352.89,2026-09-21T08:20:42.584000Z,3.161
2026-09-21T08:20:42.768000+00:00,203,4352.54,4352.96,2026-09-21T08:20:42.767000Z,4352.54,4352.96,4352.54,4352.96,2026-09-21T08:20:42.767000Z,92.182
2026-09-21T08:20:43.009000+00:00,204,4352.52,4352.93,2026-09-21T08:20:42.930000Z,4352.52,4352.93,4352.52,4352.93,2026-09-21T08:20:42.930000Z,127.801
2026-09-21T08:20:43.263000+00:00,205,4352.48,4352.89,2026-09-21T08:20:43.167000Z,4352.48,4352.89,4352.48,4352.89,2026-09-21T08:20:43.167000Z,172.447
2026-09-21T08:20:43.515000+00:00,207,4352.48,4352.90,2026-09-21T08:20:43.468000Z,4352.48,4352.90,4352.48,4352.90,2026-09-21T08:20:43.468000Z,14.471
2026-09-21T08:20:43.766000+00:00,208,4352.50,4352.92,2026-09-21T08:20:43.786000Z,4352.50,4352.92,4352.50,4352.92,2026-09-21T08:20:43.786000Z,62.389
